survey,region,year,client,onshore,type,format,status,pref_vintage
2009-Petroworth Western Cape Breton,Western Cape Breton,2009,Petroworth,onshore,2D,SEGY,ok,
2009-Elmworth Windsor,Windsor,2009,Elmworth,onshore,2D,SEGY,ok,PSTM
2008-Forent Alton-Truro,Alton-Truro,2008,Forent,onshore ,2D,SEGY,ok,UMIG
2008-Forent Alton-Shuben,Alton-Shuben,2008,Forent,onshore,2D,SEGY,ok,UMIG
2008-Eastrock Cumberland,Cumberland,2008,Eastrock,onshore,2D,SEGY,ok,PSTM
2007-Elmworth Windsor,Windsor,2007,Elmworth,onshore,3D,SEGY,ok,FXPSTM
2007-Elmworth Windsor,Windsor,2007,Elmworth,onshore,2D,SEGY,ok,FXPSTM
2004-Husky Schuben 3D,Schuben 3D,2004,Husky,onshore,3D,SEGY,ok,FXPSTM
2003-Vintage Sydney,Sydney,2003,Vintage,onshore,2D,SEGY,ok,
2003-Vintage Pictou-Stellarton,Pictou-Stellarton,2003,Vintage,onshore,2D,SEGY,ok,PSTM
2003-Vintage Bras d'Or-Central Cape Breton,Bras d'Or-Central Cape Breton,2003,Vintage,onshore,2D,SEGY,ok,
2003-EOG Alton-Schuben,Alton-Schuben,2003,EOG,onshore,2D,SEGY,missing month,PSTM
2002-Devon Cumberland,Cumberland,2002,Devon,onshore,2D,SEGY,ok,PSTM
2002-Contact Windsor,Windsor,2002,Contact,onshore,2D,SEGY,ok,PSTM
2002-Contact Riverdale-Debert-Kemptown ,Riverdale-Debert-Kemptown ,2002,Contact,onshore,2D,SEGY,ok,MIG
2002-Contact Antigonish,Antigonish,2002,Contact,onshore,2D,SEGY,ok,
2002-Amvest Wallace-Cumberland,Wallace-Cumberland,2002,Amvest,onshore,2D,SEGY,ok,MIG
2001-Northstar Riverdale-Debert-Kemptown ,Riverdale-Debert-Kemptown ,2001,Northstar,onshore,2D,SEGY,ok,PSTM
2001-Northstar Noel-Windsor,Noel-Windsor,2001,Northstar,onshore,2D,SEGY,ok,PSTM
2001-Northstar Cumberland,Cumberland,2001,Northstar,onshore,2D,SEGY,ok,PSTM
2001-Northstar Antigonish,Antigonish,2001,Northstar,onshore,2D,SEGY,ok,
2001-Consolidated Beacon Debert-Kemptown,Debert-Kemptown,2001,Consolidated Beacon,onshore,2D,SEGY,ok,PSTM
2000-Northstar Windsor,Windsor,2000,Northstar,onshore,2D,SEGY,ok,PSTM
2000-Hunt Shubenacadie,Shubenacadie,2000,Hunt,onshore,2D,SEGY,ok,PSTM
1990-Corragh Debert-Kemptown,Debert-Kemptown,1990,Corragh,onshore,2D,SEGY,ok,FPSTM
1986-AGREN Noel-Windsor,Noel-Windsor,1986,AGREN,onshore,2D,Paper,ok,
1983-Tricentrol Oil Debert-Kemptown-Cumberland,Debert-Kemptown-Cumberland,1983,Tricentrol Oil,onshore,2D,Paper_Scanned_to_SEGY,ok,
1981-Chevron Windsor-Kennetcook-Schuben,Windsor-Kennetcook-Schuben,1981,Chevron,onshore,2D,SEGY,ok,STK
1981-Chevron Antigonish,Antigonish,1981,Chevron,onshore,2D,SEGY,ok,STK
1980-Chevron Cumberland,Cumberland,1980,Chevron,onshore,2D,SEGY,ok,
1980-Chevron Cape Breton,Cape Breton,1980,Chevron,onshore,2D,SEGY,ok,
1978-NSDME Kemptown-Coal-Explor,Kemptown-Coal-Explor,1978,NSDME,onshore,2D,no data,no data,
1975-SOQUIP Windsor,Windsor,1975,SOQUIP,onshore,2D,SEGY,,
1974-Gulf Oil Canada Cumberland,Cumberland,1974,Gulf Oil Canada,onshore,2D,no data,no data,
1972-Ram-Economy Debert-Kemptown-Cumberland,Debert-Kemptown-Cumberland,1972,Ram-Economy,onshore,2D,no data,no data,
1972-Murphy Sydney,Sydney,1972,Murphy,onshore,2D,Paper_Scanned_to_SEGY,error with geometries,
1972-Anchutz Cumberland and Stellarton,Cumberland and Stellarton,1972,Anchutz,onshore,2D,Paper_Scanned_to_SEGY,ok,
1963-Pacific Petroleum Cumberland,Cumberland,1963,Pacific Petroleum,onshore,2D,no data,no data,
1963-Pacific Petroleum Sydney,Sydney,1963,Pacific Petroleum,onshore,2D,no data,no data,
1958-Lura Corporation Antigonish,Antigonish,1958,Lura Corporation,onshore,2D,no data,no data,
1942-Cape Breton Petroleum Western Cape Breton,Western Cape Breton,1942,Cape Breton Petroleum,onshore,2D,no data,no data,
1983-PetroCanada Offshore Sydney,Offshore Sydney,1983,PetroCanada,offshore,2D,SEGY,ok,
1983-Chevron Bay of Fundy,Bay of Fundy,1983,Chevron,offshore,2D,Paper_Scanned_to_SEGY,error with geometries,
1983-Chevron Bras d'Or Lake,Bras d'Or Lake,1983,Chevron,offshore,2D,Paper_Scanned_to_SEGY,error with geometries,
1983-Chevron Northumberland Strait,Northumberland Strait,1983,Chevron,offshore,2D,Paper_Scanned_to_SEGY,error with geometries,
1983-Chevron St. Georges Bay,St. Georges Bay,1983,Chevron,offshore,2D,Paper_Scanned_to_SEGY,error with geometries,
1983-Chevron Mabou-Western Cape Breton,Mabou-Western Cape Breton,1983,Chevron,offshore,2D,Paper_Scanned_to_SEGY,error with geometries,
