type,acronymn,units,track,xleft,xright,xticks,xlabel_fmt,midline,logarithmic,linecolor,hexcolor,fill_left_cond,fill_left,fill_right_color,fill_right_cond,fill_right,fill_left_color
Gamma Ray,GR,API,0,0,210,"30,60,90,120,150,180",int,,linear,black,#000000,xleft,#FFFFFF,,,,
Caliper,CALI,in,0,4,14,"4,14",,,linear,light grey,#D3D3D3,,,,,,
Photoelectric Factor,PEF,-,0,0,20,"0,10,20",,,linear,plum,#EAADEA,,,,,,
Spontaneous Potential,SP,mV,0,0,100,"25,50,75",,,linear,sap green,#308014,,,,,,
Resistivity Laterolog 5,RLA5,ohm.m,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
Resistivity Laterolog 4,RLA4,ohm.m,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
Resistivity Laterolog 3,RLA3,ohm.m,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
Resistivity Laterolog 2,RLA2,ohm.m,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
Resistivity Laterolog 1,RLA1,ohm.m,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
Resistivity Invaded zone,RXOZ,ohm.m,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
Resitivity true,RT_HRLT,ohm.m,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
Resistivity mud,RM_HRLT,ohm.m,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
Density Porosity (matrix Sandstone),DPHI_SAN,V/V,2,0.5,-0.2,"0.4,0.3,0.2,0.1,0.0",,,linear,red (scarlet),#8C1717,NPHI_SAN,#CCCCCC,,,,
Density Porosity (matrix Limestone),DPHI_LIM,V/V,2,0.5,-0.2,"0.4,0.3,0.2,0.1,0.0",,,linear,red (scarlet),#8C1718,,,,,,
Density Porosity (matrix Dolomite),DPHI_DOL,V/V,2,0.6,-0.3,"0.4,0.3,0.2,0.1,0.0",,,linear,red (scarlet),#8C1719,,,,,,
Thermal Neutron Porosity (matrix Sandstone),NPHI_SAN,V/V,2,0.6,-0.3,"0.4,0.3,0.2,0.1,0.0",,,linear,blue (blue bird),#4973AB,,,,,,
Thermal Neutron Porosity (matrix Limestone),NPHI_DOL,V/V,2,0.6,-0.3,"0.4,0.3,0.2,0.1,0.0",,,linear,blue (blue bird),#4973AB,,,,,,
Thermal Neutron Porosity (matrix Dolomite),NPHI_LIM,V/V,2,0.6,-0.3,"0.4,0.3,0.2,0.1,0.0",,,linear,blue (blue bird),#4973AB,,,,,,
Bulk Density,RHOB,g/cm^3,3,2,3.5,"2.2,2.4,2.6,2.8,3.0",,,linear,red (scarlet),#8C1718,,,,,,
Density correction,DRHO,g/cm^3,3,2,3.5,"2.2,2.4,2.6,2.8,3.0",,,linear,light grey,#CCCCCC,,,,,,
P-wave slowness,DT,\mu s/ft,4,140,40,"40,60,80,100,120,140",,,linear,blue (blue bird),#4973AB,,,,,,
S-wave slowness,DTS,\mu s/ft,4,140,40,"40,60,80,100,120,140",,,linear,sap green,#308014,,,,,,
