type,acronymn,units,track,xleft,xright,xticks,xlabel_fmt,midline,logarithmic,linecolor,hexcolor,fill_left_cond,fill_left,fill_right_color,fill_right_cond,fill_right,fill_left_color
Gamma Ray,GR,API,0,250,-300,"200,150,100,50",int,,linear,black,#000000,True,,,,,
Caliper,CALI,in,0,4,14,"4,14",,,linear,light grey,#D3D3D3,True,,,,,
Photoelectric Factor,PEF,-,0,0,20,"0,10,20",,,linear,plum,#EAADEA,True,,,,,
Spontaneous Potential,SP,mV,0,0,100,25 50 75,,,linear,sap green,#308014,True,,,,,
Resistivity Laterolog 5,RLA5,ohm.m,1,0.02,2000,"0.2,2.0,20.0,200",,,log,black,#000000,True,10,#F3F3F3,,,
Resistivity Laterolog 4,RLA4,ohm.m,1,0.02,2000,"0.2,2.0,20.0,200",,,log,black,#000000,True,11,#F3F3F4,,,
Resistivity Laterolog 3,RLA3,ohm.m,1,0.02,2000,"0.2,2.0,20.0,200",,,log,black,#000000,True,12,#F3F3F5,,,
Resistivity Laterolog 2,RLA2,ohm.m,1,0.02,2000,"0.2,2.0,20.0,200",,,log,black,#000000,True,13,#F3F3F6,,,
Resistivity Laterolog 1,RLA1,ohm.m,1,0.02,2000,"0.2,2.0,20.0,200",,,log,black,#000000,True,14,#F3F3F7,,,
Resistivity Invaded zone,RXOZ,ohm.m,1,0.02,2000,"0.2,2.0,20.0,200",,,log,black,#000000,True,15,#F3F3F8,,,
Resitivity true,RT_HRLT,ohm.m,1,0.02,2000,"0.2,2.0,20.0,200",,,log,black,#000000,True,16,#F3F3F9,,,
Resistivity mud,RM_HRLT,ohm.m,1,0.02,2000,"0.2,2.0,20.0,200",,,log,black,#000000,True,17,#F3F3F10,,,
Density Porosity (matrix Sandstone),DPHI_SAN,V/V,2,0.6,-0.3,".30, .15, 0.0",,,linear,red (scarlet),#8C1717,NPHI < DHPI,#D3D3D3 ,,NPHI > DHPI,#FF3333,
Density Porosity (matrix Limestone),DPHI_LIM,V/V,2,0.6,-0.3,".30, .15, 0.0",,,linear,red (scarlet),#8C1718,NPHI < DHPI,#D3D3D4,,NPHI > DHPI,#FF3333,
Density Porosity (matrix Dolomite),DPHI_DOL,V/V,2,0.6,-0.3,".30, .15, 0.0",,,linear,red (scarlet),#8C1719,NPHI < DHPI,#D3D3D5,,NPHI > DHPI,#FF3333,
Thermal Neutron Porosity (matrix Sandstone),NPHI_SAN,V/V,2,0.6,-0.3,".30, .15, 0.0",,,linear,blue (blue bird),#4973AB,,,,,,
Thermal Neutron Porosity (matrix Limestone),NPHI_DOL,V/V,2,0.6,-0.3,".30, .15, 0.0",,,linear,blue (blue bird),#4973AB,,,,,,
Thermal Neutron Porosity (matrix Dolomite),NPHI_LIM,V/V,2,0.6,-0.3,".30, .15, 0.0",,,linear,blue (blue bird),#4973AB,,,,,,
Bulk Density,RHOB,g/cm^3,0,0,3,"2.0, 2.5, 3.0",,,linear,red (scarlet),#8C1718,,,,True,,
Density correction,DRHO,g/cm^3,3,-0.3,0.01,0 50,,0,linear,light grey,#D3D3D3,,,,DRHO > 0.05,#FF3333,
P-wave slowness,DT,\mu s/ft,3,140,40,"40, 60, 80, 100, 120, 140",,,linear,blue (blue bird),#4973AB,,,,,,
S-wave slowness,DTS,\mu s/ft,3,140,40,"40, 60, 80, 100, 120, 140",,,linear,sap green,#308014,,,,,,
